33;136;36;x
83;214;44;x
175;73;58;x
186;98;69;x
206;44;64;x
107;213;50;x
63;55;34;x
86;200;44;x
81;237;45;x
110;150;72;x
62;63;73;x
76;72;57;x
100;79;60;x
77;108;74;x
40;129;42;x
37;125;27;x
111;162;42;x
79;161;45;x
186;30;48;x
114;79;43;x
62;164;29;x
36;147;51;~
53;105;72;x
110;105;60;x
49;181;27;x
42;115;48;x
97;31;42;x
173;72;50;x
36;163;29;x
179;123;68;x
40;116;28;x
53;88;57;x
151;166;55;x
84;177;66;x
120;155;45;x
171;68;64;x
203;20;47;x
144;26;44;x
119;137;37;x
67;63;48;x
36;134;24;x
119;39;56;x
38;119;60;x
104;122;70;x
56;108;70;x
57;213;36;x
21;179;45;x
82;140;26;x
66;126;32;x
110;165;50;x
74;159;62;x
89;129;27;x
143;80;53;x
130;94;70;x
82;160;49;x
101;101;74;x
113;66;44;x
180;109;66;x
65;104;29;x
90;226;45;x
100;90;62;x
94;144;59;o
45;223;31;o
30;143;47;o
73;61;26;
59;148;38;
160;25;49;
185;132;67;
142;86;70;
48;116;68;
49;64;57;
129;58;52;
168;104;70;
48;134;54;
49;109;47;
53;222;34;
137;61;63;
149;73;42;
104;118;64;
155;74;68;
31;143;37;
29;158;40;
149;119;51;
92;173;42;
45;142;19;
102;172;49;
85;212;45;
78;133;68;
174;48;59;
114;87;61;
69;184;34;
180;37;61;
92;153;60;
63;63;48;
102;130;69;
55;144;44;
64;102;20;
83;159;49;
87;127;75;
40;130;33;
